comp-char	common-char	comp-code	common-code	level	flag
㇣	〇	U+31E3	U+3007	#	*
࿕	卐	U+0FD5	U+5350	#	
࿖	卍	U+0FD6	U+534D	#	
⺀	冫	U+2E80	U+51AB	#	*
⺁	𠂆	U+2E81	U+20086	B	
⺂	乛	U+2E82	U+4E5B	#	
⺃	乚	U+2E83	U+4E5A	#	
⺄	乙	U+2E84	U+4E59	#	*
⺅	亻	U+2E85	U+4EBB	#	
⺆	冂	U+2E86	U+5182	#	*
⺇	𠘨	U+2E87	U+20628	B	
⺈	𠂊	U+2E88	U+2008A	B	*
⺉	刂	U+2E89	U+5202	#	
⺊	卜	U+2E8A	U+535C	#	*
⺋	㔾	U+2E8B	U+353E	A	
⺌	小	U+2E8C	U+5C0F	#	*
⺍	𭕄	U+2E8D	U+2D544	F	
⺎	兀	U+2E8E	U+5140	#	
⺏	尣	U+2E8F	U+5C23	#	
⺐	尢	U+2E90	U+5C22	#	
⺑	𡯂	U+2E91	U+21BC2	B	
⺒	巳	U+2E92	U+5DF3	#	
⺓	幺	U+2E93	U+5E7A	#	
⺔	彑	U+2E94	U+5F51	#	
⺕	彐	U+2E95	U+5F50	#	
⺖	忄	U+2E96	U+5FC4	#	
⺗	㣺	U+2E97	U+38FA	A	
⺘	扌	U+2E98	U+624C	#	
⺙	攵	U+2E99	U+6535	#	
⺛	旡	U+2E9B	U+65E1	#	
⺜	冃	U+2E9C	U+5183	#	*
⺝	月	U+2E9D	U+6708	#	*
⺞	歺	U+2E9E	U+6B7A	#	
⺟	母	U+2E9F	U+6BCD	#	
⺠	民	U+2EA0	U+6C11	#	
⺡	氵	U+2EA1	U+6C35	#	
⺢	氺	U+2EA2	U+6C3A	#	
⺣	灬	U+2EA3	U+706C	#	
⺤	爫	U+2EA4	U+722B	#	
⺥	爫	U+2EA5	U+722B	#	*
⺦	丬	U+2EA6	U+4E2C	#	
⺧	牛	U+2EA7	U+725B	#	*
⺨	犭	U+2EA8	U+72AD	#	
⺩	𤣩	U+2EA9	U+248E9	B	
⺪	𤴔	U+2EAA	U+24D14	B	
⺫	罒	U+2EAB	U+7F52	#	
⺬	示	U+2EAC	U+793A	#	*
⺭	礻	U+2EAD	U+793B	#	
⺮	𥫗	U+2EAE	U+25AD7	B	
⺯	糹	U+2EAF	U+7CF9	#	
⺰	纟	U+2EB0	U+7E9F	#	
⺱	罓	U+2EB1	U+7F53	#	
⺲	罒	U+2EB2	U+7F52	#	
⺳	㓁	U+2EB3	U+34C1	A	
⺴	㓁	U+2EB4	U+34C1	A	*
⺵	𦉫	U+2EB5	U+2626B	B	
⺶	羊	U+2EB6	U+7F8A	#	*
⺷	𦍌	U+2EB7	U+2634C	B	
⺸	𦍋	U+2EB8	U+2634B	B	*
⺹	耂	U+2EB9	U+8002	#	
⺺	肀	U+2EBA	U+8080	#	
⺻	聿	U+2EBB	U+807F	#	*
