char1	char2	freq
㇀	一	1
㇂	乚	1
㇄	𠃊	2
㇅	㇍	1
㇇	乛	1
㇇	𠃍	1
㇈	乙	1
㇏	乀	1
㇒	一	1
㇒	丿	75
㇕	𠃍	1
㇝	乀	1
〇	㇣	1
一	丶	16
丁	丅	1
丂	𠀁	2
七	土	1
七	𠤎	6
丄	𠃊	1
丆	厂	1
丆	𠂇	1
下	木	1
丌	兀	1
丏	丐	10
且	旦	4
东	𫠣	1
丞	氶	1
丟	丢	4
丣	戼	1
丨	丶	1
丨	丿	5
丨	亅	2
丩	𠂈	3
个	亇	1
个	𫡏	1
丫	𬼸	2
⺀	丨	1
⺀	丶	1
丶	乀	11
⺀	二	3
⺀	冫	5
丷	八	4
丸	凡	1
主	龶	8
乀	乁	1
久	乆	1
义	叉	4
⺄	㇈	35
乙	𠃉	1
乚	𠃊	1
乛	𠃍	3
九	尢	1
亇	饣	1
争	爭	45
二	冫	2
二	𠄞	1
二	𠄠	6
于	干	1
亏	亐	29
云	𠫓	1
亘	亙	1
亙	𠀕	2
亠	十	1
亦	𰁜	12
亨	享	2
亷	廉	2
亷	𠔳	1
人	亻	2
人	入	2
人	卜	1
人	大	1
人	𠆢	106
亻	彳	1
亾	兦	1
今	令	1
仑	仓	1
仰	𠇩	3
佘	余	1
佞	侒	1
來	来	4
侍	待	2
侯	候	2
俞	兪	28
俱	倶	1
傱	從	1
儿	八	8
儿	几	1
充	𠘺	4
兌	兑	43
免	兔	2
兒	皃	1
兖	兗	1
入	𠆢	2
內	内	71
兮	𠔃	1
共	龷	1
具	貝	1
兹	茲	24
⺆	冂	8
冂	冖	4
冂	卩	1
⺆	卩	1
冃	日	5
冈	罓	14
冊	册	3
冊	𠕁	1
冋	同	1
冑	胄	1
冖	宀	1
冡	冢	1
冦	寇	1
凍	涷	1
几	凢	1
几	言	1
几	𠘧	5
几	𠘨	14
凡	卂	1
凡	𠁽	1
凢	凣	6
凧	𫥞	1
凬	凮	1
凰	鳯	1
凵	𫡃	1
凷	𠙽	4
出	岀	2
⺈	刀	1
刀	勹	1
⺈	勹	1
⺈	𠂊	45
刃	刄	7
刊	刋	1
別	别	22
刹	剎	1
刺	剌	2
剝	剥	2
剿	巢	1
勑	𠡠	2
務	敄	1
勹	𠃌	1
勻	匀	34
匕	匚	1
匕	𠤎	13
北	龷	1
匚	匸	28
匩	𠥆	1
十	干	1
千	干	1
卄	艹	4
卉	𠦄	3
单	単	4
⺊	卜	5
卝	艹	18
卥	𠧧	3
卧	臥	12
卩	𰆊	4
卮	厄	1
即	卽	6
卻	郤	1
厂	𠂆	4
⺁	𠂆	4
厘	里	1
厽	𠫯	1
叁	参	2
又	龴	1
叉	夂	1
収	𠬞	4
发	犮	1
叚	暇	1
叚	段	1
叟	马	1
口	古	1
口	囗	5
口	日	1
句	旬	1
另	叧	1
另	𠮠	2
叱	吒	1
叱	𫜸	2
各	名	1
吉	𠮷	5
吉	𦍌	1
吕	呂	46
吞	呑	20
吳	吴	6
吿	告	38
呆	杲	1
員	貝	1
喦	嵒	1
囘	回	1
囚	龱	1
四	罒	4
回	囬	2
囪	囱	5
