code	char	ids	more
U+3007	〇		
U+4E00	一		
U+4E01	丁	⿱一亅	
U+4E02	丂	⿱一㇉	
U+4E03	七	⿻㇀乚	⿻乚一
U+4E04	丄	⿱丨一	
U+4E05	丅	⿱一丨	
U+4E06	丆	⿱一丿	⿱一㇒
U+4E07	万	⿱一勹	⿸丆𠃌 / ⿱一⿰丿𠃌
U+4E08	丈		⿻𠂇丶 / ⿻𠂇乀
U+4E09	三	⿱一二	⿱二一
U+4E0A	上	⿺丄一	⿱⺊一
U+4E0B	下	⿱一卜	⿸丅丶
U+4E0C	丌	⿹丅丿	⿱一⿰丿丨
U+4E0D	不	⿸丆卜	⿻丆卜 / ⿸丆⿰丨丶
U+4E0E	与	⿹⿺㇉一一	⿹⿺𠃑一丨
U+4E0F	丏		⿱丅⿰𠃊𠃌 / ⿱一⿰⿺𠃊丨𠃌
U+4E10	丐	⿱⿸丅一㇉	⿱⿸丅⺊𠃌 / ⿱一⿺㇉⺊
U+4E11	丑		⿼ユ十 / ⿻⿼ユ丨一
U+4E12	丒	⿱刃一	⿱⿹𠃌㐅一
U+4E13	专		⿱⿻一𠀁丶 / ⿱⿻𠃑二丶
U+4E14	且		⿴𠀃二 / ⿴𠀃𠄠
U+4E15	丕	⿱不一	
U+4E16	世		⿻廿𠃊 / ⿻⿺𠃊凵一
U+4E17	丗	⿻山一	⿻廿丨 / ⿱⿻卄丨一
U+4E18	丘	⿱㇒⿺丄丅	⿷𠀉丨 / ⿱⿸𠂆丅一
U+4E19	丙	⿱一内	⿻𠆣冂
U+4E1A	业	⿱丱一	⿱⿻⿰丨丨丷一
U+4E1B	丛	⿱从一	
U+4E1C	东		⿻⿻一𠃋小
U+4E1D	丝		⿱⿰⿸𠃋𠃋⿸𠃋𠃋一
U+4E1E	丞	⿱氶一	
U+4E1F	丟	⿱一去	⿱干𠫔 / ⿱王厶
U+4E20	丠	⿱北一	
U+4E21	両	⿵帀凵	⿻𰀃山 / ⿱一⿻冂山
U+4E22	丢	⿱㇒去	⿱丿去 / ⿱千𠫔 / ⿱𡈼厶
U+4E23	丣		⿱一⿲匚丿⿰丨コ
U+4E24	两	⿱一⿻从冂	⿱一⿻冂从
U+4E25	严	⿱亚丿	
U+4E26	並	⿱䒑业	⿱丷亚 / ⿱八亚 / ⿳䒑丱一 / ⿳八一⿱丱一
U+4E27	丧		⿱⿻土丷𰀠 / ⿱⿻土丷⿰𠄌⿺乀丿
U+4E28	丨		
U+4E29	丩		⿰𠃊丨 / ⿰𠄌丨 / ⿻丨𠃊 / ⿻丨𠄌
U+4E2A	个	⿱人丨	⿱𠆢丨
U+4E2B	丫	⿱丷丨	
U+4E2C	丬	⿰冫丨	⿰冫丿
U+4E2D	中	⿻丨口	⿻口丨
U+4E2E	丮		⿹⺄𰀁 / ⿹㇈𰀁 / ⿹⺄⿻二丨 / ⿹㇈⿻丿⺀
U+4E2F	丯	⿻丨彡	⿻彡丨
U+4E30	丰	⿻三丨	⿻㇒𰀁 / ⿻丨三 / ⿻丿三 / ⿻十二 / ⿻𠀆一 / ⿻𠂇二 / ⿻𰀁一 / ⿻丿⿻二丨
U+4E31	丱		⿲丩丨𠃎 / ⿲𠂈丨𠃎 / ⿰𠂈⿰丨𠃎 / ⿰⿰𠃊丿⿰丨𠃎
U+4E32	串	⿻丨吕	⿻中口 / ⿻吕丨
U+4E33	丳	⿻⿰丿丨吕	⿻吕⿰丿丨
U+4E34	临		⿸𰀢𫩏 / ⿲丨丨⿱⿱𠂉丶𫩏
U+4E35	丵		⿱业𢆉
U+4E36	丶		
U+4E37	丷	⿰丶㇒	⿰丶丿
U+4E38	丸	⿵九丶	⿻九丶 / ⿻丿⿹㇈丶
U+4E39	丹	⿴⿻冂一丨	⿴⿻⺆一丨 / ⿴⿻⺆一丶 / ⿴⿻冂一丶 / ⿻⿻⺆一丶
U+4E3A	为		⿵⿽力丶丶
U+4E3B	主	⿱丶王	⿱亠土
U+4E3C	丼	⿴井丶	
U+4E3D	丽	⿱一⿰⿵冂丶⿵冂丶	⿰⿱一𠔼⿱一𠔼 / ⿰⿵𰀃丨⿵𰀃丨 / ⿰⿵𰀃丶⿵𰀃丶 / ⿰⿱一⿵冂丶⿱一⿵冂丶
U+4E3E	举	⿱兴⿻二丨	⿱兴𰀁
U+4E3F	丿		
U+4E40	乀		
U+4E41	乁		
U+4E42	乂	⿻丿丶	⿻丿乀
U+4E43	乃		⿹𠄎丿
U+4E44	乄	⿻㇢丶	
U+4E45	久		⿸丿ス
U+4E46	乆		⿰𠂈乀 / ⿸𠃋人
U+4E47	乇	⿱㇒七	⿱丿七 / ⿱㇒⿻一乚
U+4E48	么	⿱㇒厶	⿱丿厶 / ⿸丿厶
U+4E49	义	⿱丶乂	⿶乂丶
U+4E4A	乊	⿱㇒丷	⿱丿丷
U+4E4B	之	⿳丶㇇乀	
U+4E4C	乌		⿱丿⿹⿺𠃌㇉一
U+4E4D	乍		⿱𠂉⿰丨二 / ⿸⿱𠂉丨二
U+4E4E	乎	⿱丿⿻亅䒑	⿻𠂌丷
U+4E4F	乏	⿱㇒之	⿱丿之
U+4E50	乐		⿱𠂆朩 / ⿻⿱㇒𠃋小
U+4E51	乑		⿰𰀪𧘇 / ⿱㇒⿰𰀪𰀠 / ⿱丿⿰𰀪𰀠 / ⿲𰀪亻⿺乀丿
U+4E52	乒	⿱丘㇒	⿱丘丿
U+4E53	乓	⿱丘丶	
U+4E54	乔	⿱丿夰	⿱夭⿰丿丨
U+4E55	乕		⿸𠂆⿻二巾 / ⿸𠂆⿻十𰀃 / ⿸𠂆⿻⿻二丨冂
U+4E56	乖	⿻千北	⿻千龷
U+4E57	乗	⿻禾龷	⿻千⿱龷人
U+4E58	乘	⿻乖人	⿻禾北
U+4E59	乙		
U+4E5A	乚		
U+4E5B	乛		
U+4E5C	乜		⿻乚𠃌 / ⿻乚𠃍
U+4E5D	九	⿻丿㇈	
U+4E5E	乞		⿱𠂉乙
U+4E5F	也	⿻乜丨	⿻⿺乚丨㇇ / ⿻⿺乚丨乛 / ⿻⿺乚丨𠃌 / ⿻⿺乚丨𠃍
U+4E60	习		⿹𠃌冫 / ⿹𠃍冫
U+4E61	乡		⿸𠃋𠂈 / ⿸⿸𠃋𠃋丿
U+4E62	乢	⿰山乚	
U+4E63	乣	⿰幺乚	
U+4E64	乤	⿱下乙	
U+4E65	乥	⿱乊乙	
U+4E66	书		⿺⿻⿱𠃍𠃌丨丶 / ⿺⿻丨⿱𠃍𠃌丶
U+4E67	乧	⿱斗乙	
U+4E68	乨	⿰台乚	
U+4E69	乩	⿰占乚	
U+4E6A	乪	⿺乙田	
U+4E6B	乫	⿱加乙	
U+4E6C	乬	⿱巨乙	
U+4E6D	乭	⿱石乙	
U+4E6E	乮	⿱卯乙	
U+4E6F	乯	⿱乎乙	
U+4E70	买	⿱乛头	
U+4E71	乱	⿰舌乚	
U+4E72	乲	⿱次乙	
U+4E73	乳	⿰孚乚	
U+4E74	乴	⿱折乙	
U+4E75	乵	⿰辛乚	
U+4E76	乶	⿱甫乙	
U+4E77	乷	⿱沙乙	
U+4E78	乸	⿺也母	
U+4E79	乹		⿰𠦝乚
U+4E7A	乺	⿱所乙	
U+4E7B	乻	⿱於乙	
U+4E7C	乼	⿱注乙	⿱⿰氵主乙
U+4E7D	乽	⿱者乙	
U+4E7E	乾		⿰𠦝乞 / ⿸⿰𠦝𠂉乙
U+4E7F	乿	⿰⿱爫糸乚	⿰⿱爫糹乚
U+4E80	亀	⿻龟日	⿱𠂊⿻日电
U+4E81	亁	⿰⿱十旱乞	
U+4E82	亂		⿰𤔔乚
U+4E83	亃	⿰粦乚	
U+4E84	亄	⿰壹乚	
U+4E85	亅		
U+4E86	了	⿱乛亅	
U+4E87	亇	⿰丿丁	⿰丿𠄐 / ⿱⺈亅 / ⿱𠂉丨 / ⿱𠂉亅 / ⿱𠂊亅 / ⿱⿰㇒乛丨 / ⿱⿰㇒乛亅 / ⿱⿰丿乛亅
U+4E88	予		⿱龴𠄐
U+4E89	争	⿻刍亅	⿱⺈⿻⺕亅
U+4E8A	亊		⿻𬺰⿱丷⺕
U+4E8B	事		⿻亅⿱𠮛⺕
U+4E8C	二	⿱一一	
U+4E8D	亍	⿱一丁	⿱二亅
U+4E8E	于	⿻丁一	⿱一𬺰
U+4E8F	亏	⿱一丂	⿱二㇉
U+4E90	亐	⿻丂一	⿱一𠀁
U+4E91	云	⿱二厶	⿱一𠫔
U+4E92	互	⿱一彑	
U+4E93	亓	⿱一丌	⿹𬼽丿
U+4E94	五		⿱一𫝀 / ⿻工𠃍
U+4E95	井	⿻廾一	⿻二⿰丿丨
U+4E96	亖	⿱一三	⿱三一 / ⿱二二
U+4E97	亗	⿱山二	
U+4E98	亘	⿱一旦	⿱𣄼一
U+4E99	亙		⿷工⿹𠃍⺀ / ⿳一⿵𠁡⺀一
U+4E9A	亚	⿱一业	⿻𮯰丷
U+4E9B	些	⿱此二	
U+4E9C	亜	⿳一⿻口⿰丨丨一	⿱𬻇一 / ⿻𮯰口
U+4E9D	亝	⿱厽二	
U+4E9E	亞		⿳一⿰⿳丨一𠃑⿳𠃑一丨一
U+4E9F	亟	⿱⿻丂叹一	⿻𬼶叹 / ⿱⿻了叹一
U+4EA0	亠	⿱丨一	⿱丶一
U+4EA1	亡	⿱丶匚	⿱丶匸 / ⿱亠㇄ / ⿱亠𠃊
U+4EA2	亢	⿱亠几	
U+4EA3	亣	⿱丶丌	⿱亠⿰丿丨
U+4EA4	交	⿱亠父	⿱六乂
U+4EA5	亥		⿱丶𠀔 / ⿳亠𠂈人
U+4EA6	亦	⿱亠⿰丿小	⿱亠⿲丿刂丶 / ⿱亠⿻⿰丨亅八 / ⿱亠⿻⿰丿亅八
U+4EA7	产	⿱文厂	⿳亠丷厂 / ⿱⿱亠丷厂
U+4EA8	亨	⿳亠口了	⿳丶𠮛了 / ⿱⿱亠口了
U+4EA9	亩	⿱亠田	⿱丶𰢴
U+4EAA	亪	⿱亦乁	
U+4EAB	享	⿻亨一	⿱亠𠯂 / ⿳亠丷子 / ⿳亠口子 / ⿱⿱亠口子
U+4EAC	京	⿳亠口小	⿱亠𱒃 / ⿱⿱亠口小
U+4EAD	亭	⿱⿳亠口冖丁	⿳丶𠮛⿱冖丁
U+4EAE	亮	⿳亠口冗	⿳丶𠮛冗 / ⿱⿳亠口冖儿 / ⿱⿳亠口冖几 / ⿳丶𠮛⿱冖儿
U+4EAF	亯	⿳亠口日	⿱亠𠯭 / ⿱⿱亠口日
U+4EB0	亰	⿱亠⿱日小	⿱亠𣌢 / ⿱𣅀小
U+4EB1	亱	⿱亠但	
U+4EB2	亲	⿱立木	⿱立朩 / ⿻䇂𠆣 / ⿻辛人
U+4EB3	亳	⿱⿳亠口冖乇	⿳丶𠮛⿱冖乇
U+4EB4	亴	⿳⿳亠口冖土九	⿳丶𠮛⿳冖土九 / ⿳丶𠮛⿳冖𰀁九 / ⿳⿳亠口冖⿻二丨九
U+4EB5	亵	⿴衣执	⿳亠执𧘇
U+4EB6	亶	⿱㐭且	⿱㐭旦
U+4EB7	亷	⿱亠⿰丿兼	
U+4EB8	亸	⿰亨单	⿰享单
U+4EB9	亹	⿱亠舋	
U+4EBA	人	⿱丿丶	
U+4EBB	亻	⿱㇒丨	⿱丿丨
U+4EBC	亼	⿱人一	⿱𠆢一
U+4EBD	亽	⿱人丶	⿱𠆢丶
U+4EBE	亾		⿺𠃊人
