cmp-char	uni-char	cmp-code	uni-code
࿕	卐	0FD5	5350
࿖	卍	0FD6	534D
⺀		2E80	
⺁		2E81	
⺂	乛	2E82	4E5B
⺃	乚	2E83	4E5A
⺄		2E84	
⺅	亻	2E85	4EBB
⺆		2E86	
⺇		2E87	
⺈		2E88	
⺉	刂	2E89	5202
⺊		2E8A	
⺋	㔾	2E8B	353E
⺌		2E8C	
⺍		2E8D	
⺎	兀	2E8E	5140
⺏	尣	2E8F	5C23
⺐	尢	2E90	5C22
⺑	𡯂	2E91	21BC2
⺒	巳	2E92	5DF3
⺓	幺	2E93	5E7A
⺔	彑	2E94	5F51
⺕		2E95	
⺖	忄	2E96	5FC4
⺗	㣺	2E97	38FA
⺘	扌	2E98	624C
⺙	攵	2E99	6535
⺛	旡	2E9B	65E1
⺜		2E9C	
⺝		2E9D	
⺞	歺	2E9E	6B7A
⺟	母	2E9F	6BCD
⺠	民	2EA0	6C11
⺡	氵	2EA1	6C35
⺢	氺	2EA2	6C3A
⺣	灬	2EA3	706C
⺤	爫	2EA4	722B
⺥		2EA5	
⺦	丬	2EA6	4E2C
⺧		2EA7	
⺨	犭	2EA8	72AD
⺩		2EA9	
⺪		2EAA	
⺫	罒	2EAB	7F52
⺬		2EAC	
⺭	礻	2EAD	793B
⺮		2EAE	
⺯	糹	2EAF	7CF9
⺰	纟	2EB0	7E9F
⺱	罓	2EB1	7F53
⺲	罒	2EB2	7F52
⺳		2EB3	
⺴		2EB4	
⺵		2EB5	
⺶		2EB6	
⺷		2EB7	
⺸		2EB8	
⺹	耂	2EB9	8002
⺺	肀	2EBA	8080
⺻		2EBB	
⺼		2EBC	
⺽		2EBD	
⺾	艹	2EBE	8279
⺿	艹	2EBF	8279
⻀	艹	2EC0	8279
⻁	虎	2EC1	864E
⻂	衤	2EC2	8864
⻃	覀	2EC3	8980
⻄	西	2EC4	897F
⻅	见	2EC5	89C1
⻆	角	2EC6	89D2
⻇	𧢲	2EC7	278B2
